The quick brown fox;
T;89;
h;150;447;
e;85;235;
 ;137;1568;
q;88;903;
u;136;549;
i;209;68;
c;84;254;
k;129;392;
 ;122;156;
b;123;961;
r;89;213;
o;139;546;
w;94;64;
n;103;306;
 ;113;210;
f;85;1490;
o;130;304;
x;59;198;
;
jumps over the lazy dog;
j;100;
u;110;80;
m;144;237;
p;185;283;
s;186;351;
 ;191;752;
o;106;2784;
v;113;415;
e;172;90;
r;124;124;
 ;94;921;
t;84;10752;
h;95;95;
e;123;110;
 ;117;230;
l;147;577;
a;103;103;
z;115;267;
y;80;485;
 ;135;234;
d;127;914;
o;128;102;
g;79;329;
;
