hello world;
h;;116
e;439;84
l;352;92
l;248;84
o;272;100
 ;392;148
w;441;75
o;327;116
r;392;99
l;304;108
d;216;68
;
hello world;
h;e;88;100
;156
l;392;172
l;600;180
o;385;147
 ;656;115
w;439o;80;156
;156
r;424;84
l;272d;105;52
;
